Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Asia Hotel Bangkok (SHA Plus+),119,4 star,"7.9
Very good
27,771 reviews","English, Thai","27,771 reviews","296 Phayathai Road, Siam, Bangkok, Thailand, 10400",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,176,7.6,7.5,9.1,7.5,7.6
Rembrandt Hotel & Suites (SHA Plus+),JMI,4.5 star,"8.3
Excellent
6,001 reviews",,"6,001 reviews","19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",26,406,2,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,32,8.5,8.1,8.4,8.3,8.6
Dream Hotel Bangkok (SHA Plus+),JMI,4.5 star,"8.4
Excellent
16,109 reviews",,"16,109 reviews","10 Sukhumvit Soi 15, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,31,8.8,8.1,8.5,8.4,8.7
VIX Bangkok @ Victory Monument,JMI,3 star,"9.2
Exceptional
1,439 reviews","English, Chinese [Mandarin], Thai","1,439 reviews","13-15 Thanon Ratchawithi, Chatuchak, Bangkok, Thailand, 10400",,,,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,24,9.3,9.0,9.5,9.4,9.3
The Berkeley Hotel Pratunam (SHA Plus+),238,5 star,"8.2
Excellent
61,617 reviews","English, Chinese [Mandarin], Thai","61,617 reviews","559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",3,220,788,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,128,8.3,8.1,8.8,8.2,8.1
Ambassador Hotel Bangkok (SHA Plus+),120,4 star,"7.2
Very good
22,016 reviews","English, Thai","22,016 reviews","171 Sukhumvit Rd., Soi 11, Wattana, Sukhumvit, Bangkok, Thailand, 10110",26,760,3,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,99,7.0,6.9,8.4,6.8,6.9
Grand President Bangkok (SHA Plus+),133,4 star,"7.1
Very good
12,027 reviews","English, Chinese [Mandarin], Thai","12,027 reviews","16 Sukhumvit Soi 11 , Sukhumvit, Bangkok, Thailand, 10110",1,220,121,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,18,6.8,6.7,8.3,7.1,7.0
Solitaire Bangkok Sukhumvit 11,JMI,4.5 star,"8.2
Excellent
9,231 reviews",,"9,231 reviews","75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",,3,16,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,25,8.6,8.1,8.1,8.5,8.2
Grand 5 Hotel & Plaza Sukhumvit (SHA Extra Plus),JMI,4 star,"7.9
Very good
3,004 reviews",,"3,004 reviews","87 Sukhumvit Road Soi 5, Klongtoey Nua, Wattana, Bangkok, Sukhumvit, Bangkok, Thailand, 10110",9,161,1,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,25,8.1,7.3,8.6,7.9,7.6
Mövenpick Hotel Sukhumvit 15 Bangkok,JMI,5 star,"8.3
Excellent
3,768 reviews",,"3,768 reviews","Soi Sukhumvit 15, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,34,8.7,8.2,7.9,8.4,8.6
Asia Hotel Bangkok (SHA Plus+),JMI,4 star,"7.9
Very good
27,771 reviews",,"27,771 reviews","296 Phayathai Road, Siam, Bangkok, Thailand, 10400",,,,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,176,7.6,7.5,9.1,7.5,7.6
JC KEVIN SATHORN BANGKOK HOTEL (SHA Plus+),194,5 star,"8.1
Excellent
9,358 reviews","English, Chinese [Mandarin], Thai","9,358 reviews","36 Narathiwas-Ratchanakarin Road, Yannawa, Sathorn, Bangkok, Sathorn, Bangkok, Thailand, 10120",38,310,3,False,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,51,8.4,8.2,7.3,8.6,8.6
Centara Grand at Central World Hotel (SHA Plus+),630,5 star,"8.7
Excellent
17,550 reviews","English, Arabic, Chinese [Mandarin], Dutch, Filipino, French, German, Indonesian, Japanese, Korean, Thai","17,550 reviews","999/99 Rama 1 Road, Patumwan, Siam, Bangkok, Thailand, 10330",55,505,3,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,17,8.8,8.7,9.3,8.5,8.7
Divalux Resort and Spa Bangkok Suvarnabhumi Airport (SHA Plus+),125,5 star,"7.7
Very good
2,422 reviews","English, Thai","2,422 reviews","88 Moo 3, Bang Sao Thong, Suvarnabhumi Airport, Bangkok, Thailand, 10570",,,,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,15,8.0,8.1,7.1,8.0,8.1
,JMI,5 star,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False
Siam Eco Hostel,36,2 star,"9.4
Exceptional
1,981 reviews","English, Thai","1,981 reviews","486/106-107 Petchaburi Road, Thanon Petchaburi, Ratchathewi,, Siam, Bangkok, Thailand, 10400",,,,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,30,9.5,9.2,9.7,9.6,9.5
Rembrandt Hotel & Suites (SHA Plus+),JMI,4.5 star,"8.3
Excellent
6,001 reviews",,"6,001 reviews","19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",,406,2,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,32,8.5,8.1,8.4,8.3,8.6
Suvarnabhumi Ville Airport Hotel,JMI,4 star,,"English, Chinese [Mandarin], Thai","3,990 reviews","9/9 Moo 7 Soi King Kaew 64 , Kingkaew Road, Rachathewa, Bangplee, Samutpakarn, Suvarnabhumi Airport, Bangkok, Thailand, 10540",2,2016,119,False,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,25,8.1,7.8,8.4,8.3,8.1
NANA Hotel Bangkok,117,3.5 star,"7.6
Very good
7,346 reviews","English, Thai","7,346 reviews","4 Soi Nana Tai, Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",11,334,1,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,43,7.2,7.1,8.8,6.5,7.5
Grand Swiss Hotel Bangkok,129,4 star,"8.0
Excellent
3,389 reviews","English, Hindi, Thai","3,389 reviews","155/23 Sukhumvit Soi 11 Near Nana BTS sky train, Sukhumvit, Bangkok, Thailand, 10110",0,220,178,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,42,8.2,7.3,8.8,8.1,8.2
Dream Hotel Bangkok (SHA Plus+),JMI,4.5 star,"8.4
Excellent
16,109 reviews",,"16,109 reviews","10 Sukhumvit Soi 15, Sukhumvit, Bangkok, Thailand, 10110",10,195,2,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,31,8.8,8.1,8.5,8.4,8.7
Siam Mandarina Hotel (SHA Extra Plus),164,4.5 star,"8.0
Excellent
3,837 reviews","English, Chinese [Mandarin], German, Thai","3,837 reviews","99 Moo 6 Kingkaew Road, Rachatewa, Bang Phli, Samut Prakan 10540, Suvarnabhumi Airport, Bangkok, Thailand, 10540",129,,,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,29,8.4,7.9,8.1,8.7,7.8
Aira Hotel Bangkok (SHA Plus+),JMI,4 star,"8.2
Excellent
3,773 reviews",,"3,773 reviews","Sukhumvit 11, Sukhumvit, Bangkok, Thailand, 10110",,,,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,37,8.3,7.9,8.4,8.0,8.1
Grande Centre Point Hotel Ratchadamri,JMI,5 star,"8.7
Excellent
28,073 reviews",,"28,073 reviews","153/2 Soi Mahatlekluang 1, Ratchadamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",,220,497,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,124,8.9,8.7,9.0,8.9,8.8
The Landmark Bangkok (SHA Plus+),JMI,5 star,"8.9
Excellent
1,812 reviews",,"1,812 reviews","138 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",,,,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,12,9.2,8.9,9.3,9.3,8.5
The Berkeley Hotel Pratunam (SHA Plus+),238,5 star,"8.2
Excellent
61,617 reviews","English, Chinese [Mandarin], Thai","61,617 reviews","559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",3,220,788,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,128,8.3,8.1,8.8,8.2,8.1
Grand Fortune Hotel Bangkok (SHA Extra Plus),222,4 star,"8.3
Excellent
5,579 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Japanese, Thai","5,579 reviews","1 Rachadaphisek Road, Dindaeng, Ratchada, Bangkok, Thailand, 10400",26,402,2,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,34,8.3,8.2,9.0,7.6,8.3
Mint Hostel,12,3 star,"6.3
Good
512 reviews","English, Chinese [Mandarin], Thai",512 reviews,"316/1 Samsen Soi 4 Baanpanthom, Khaosan, Bangkok, Thailand, 10200",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,18,5.6,5.4,7.1,6.5,6.6
Baiyoke Sky Hotel,JMI,4 star,,"English, Burmese, Chinese [Cantonese], Chinese [Mandarin], Filipino, Japanese, Russian, Thai","40,320 reviews","222 Ratchaprarop Road, Ratchathewi, Pratunam, Bangkok, Thailand, 10400",84,660,3,False,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,68,7.6,7.7,8.4,7.6,7.8
Grande Centre Point Ploenchit,JMI,5 star,"8.4
Excellent
14,673 reviews",,,"100 Wireless Road, Pathumwan, Siam, Bangkok, Thailand, 10330",31,277,1,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,35,8.7,8.2,8.8,8.5,8.6
Grande Centre Point Hotel Terminal 21,JMI,5 star,"8.8
Excellent
28,839 reviews","English, Chinese [Mandarin], Japanese, Thai","28,839 reviews","2, Sukhumvit Soi 19 (Wattana), Sukhumvit Road, Klongtoey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",1,220,462,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,True,109,9.0,8.8,9.6,8.6,8.8
Grand BS Airport Hotel Suvarnabhumi,99,3 star,"7.9
Very good
5,022 reviews","English, Thai","5,022 reviews","836/11 Soi ladkrabang 30/4, Ladkrabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",,,,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,68,8.4,8.1,8.5,8.1,8.2
Grande Centre Point Sukhumvit 55 Thong Lo (SHA Plus+),359,5 star,"8.8
Excellent
10,934 reviews","English, Thai","10,934 reviews","300 Sukhumvit 55 (Thonglor), Sukhumvit Rd., Klongton Nua, Wattana , Bangkok, Sukhumvit, Bangkok, Thailand, 10110",442,,2016,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,50,9.3,9.0,8.5,9.0,8.9
Amari Watergate Bangkok,JMI,5 star,"8.6
Excellent
14,421 reviews",,"14,421 reviews","847 Petchaburi Road, Pratunam, Rachatavi, Pratunam, Bangkok, Thailand, 10400",2,220,569,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,True,40,8.7,8.6,9.2,8.6,8.8
Sinsuvarn Airport Suite (SHA Plus+),91,4 star,"7.3
Very good
9,591 reviews","English, Lao, Thai","9,591 reviews","73 Soi Latkrabang 30, On-Nut Latkrabang Rd., Latkrabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",,,,False,False,False,True,False,True,True,True,True,False,True,True,False,False,True,False,16,7.2,6.6,7.6,7.3,7.6
Novotel Bangkok Suvarnabhumi Airport Hotel,597,4.5 star,"8.3
Excellent
9,881 reviews","English, Thai","9,881 reviews","999 Moo 1 Nongprue Bang Phli Samut Prakarn, Suvarnabhumi Airport, Bangkok, Thailand, 10540",3,3,5,False,False,False,True,False,True,True,True,False,True,True,True,False,False,True,True,13,8.7,8.3,9.3,8.5,8.4
Hotel Icon Bangkok Sukhumvit 2,141,4 star,"8.1
Excellent
3,398 reviews","English, Thai","3,398 reviews","No.49 Sukhumvit Road Soi 2, Sukhumvit, Bangkok, Thailand, 10110",6,78,1,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,13,8.4,7.7,8.1,8.5,8.4
IWISH Hotel Bangkok,JMI,3 star,"8.5
Excellent
1,317 reviews","English, Thai","1,317 reviews","441/5 Ngamwongwan Rd. Tambon Bangkhen Mueng Nonthaburi Bangkok, Thailand 11000, Chatuchak, Bangkok, Thailand, 11000",8,78,1,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,14,9.0,8.3,8.9,8.6,8.6
The Bless Hotel & Residence,239,4 star,"8.3
Excellent
5,996 reviews","English, Thai","5,996 reviews","10 Sukhumvit Soi 33, North Klongton, Wattana, Sukhumvit, Bangkok, Thailand, 10110",1,220,54,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,6,8.5,8.0,8.6,8.3,8.5
Citrus Sukhumvit 11 by Compass Hospitality,JMI,4 star,"8.2
Excellent
1,500 reviews",,"1,500 reviews","26 Sukhumvit 11, Klongtoie Nue, Wattana, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,8,8.7,7.8,8.0,8.3,8.7
Amari Don Muang Airport Bangkok Hotel,241,4 star,"8.2
Excellent
24,128 reviews","English, Chinese [Mandarin], Thai","24,128 reviews","333 Moo 10, Chert Wudthakas Road, Srikan, Don Mueang International Airport, Bangkok, Thailand, 10210",429,1983,220,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False,33,8.2,8.1,9.1,8.1,8.2
The Quarter Silom by UHG (SHA Plus+),223,4 star,"8.8
Excellent
5,652 reviews","English, Filipino, Thai","5,652 reviews","12 Suriyawong Soi Silom 6 (Soi Tarntawan), Suriyawong Subdistrict, Bang Rak, Bangkok, Silom, Bangkok, Thailand, 10500",0,1,5,True,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,24,9.1,8.7,8.9,9.0,8.9
Prince Palace Hotel Bangkok (SHA Plus+),117,4 star,"7.5
Very good
20,544 reviews","English, Thai","20,544 reviews","488/800 BoBae Tower, Damrongrak Road, Klong Mahanak, Pomprab, , Khaosan, Bangkok, Thailand, 10100",32,744,3,False,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,66,7.5,7.5,7.4,7.2,7.5
LiT BANGKOK Hotel (SHA Extra Plus),266,4.5 star,"8.7
Excellent
3,527 reviews","English, Thai","3,527 reviews","36/1 Soi Kasemsan 1, Rama I Rd., Pathumwan, Siam, Bangkok, Thailand, 10330",2,2,7,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,12,9.1,8.5,9.0,8.9,8.9
The Quart Ruamrudee by UHG (SHA Extra Plus),155,4 star,"8.4
Excellent
3,303 reviews","English, German, Thai","3,303 reviews","38/3 Ruamrudee, Ploenchit Road, Sukhumvit, Bangkok, Thailand, 10330",,,,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True,False,35,8.8,8.3,8.5,8.5,8.7
Pathumwan Princess Hotel (SHA Extra Plus),JMI,5 star,"8.8
Excellent
18,583 reviews",,"18,583 reviews","444 Phayathai Road, Pathumwan, Siam, Bangkok, Thailand, 10330",,,,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,23,8.9,8.8,9.3,8.7,8.8
Evergreen Place Siam by UHG (SHA Plus+),JMI,4 star,"8.7
Excellent
7,547 reviews",,"7,547 reviews","318 Phaya Thai Road, Ratchathewi, Siam, Bangkok, Thailand, 10400",,119,2,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,23,8.8,8.6,9.2,8.8,8.7
Holiday Inn Express Bangkok Siam (SHA Extra Plus),222,4 star,"8.3
Excellent
9,129 reviews","English, Chinese [Mandarin], German, Korean, Russian, Thai, Vietnamese","9,129 reviews","889 Rama 1 Road, Wangmai, Pathumwan, Siam, Bangkok, Thailand, 10330",1,1,22,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,29,8.5,7.8,9.0,8.2,8.4
Galleria 12 Sukhumvit Bangkok by Compass Hospitality,127,4 star,"8.0
Excellent
4,990 reviews","English, Thai","4,990 reviews","81/83 Sukhumvit Soi 12, Sukhumvit Road, Khlong Toei, Sukhumvit, Bangkok, Thailand, 10110",1,220,164,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,33,8.2,7.6,7.9,7.8,8.4
Eleven Hotel Bangkok (SHA Plus+),JMI,4 star,"8.5
Excellent
2,039 reviews",,"2,039 reviews","11 Sukhumvit Soi 11, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True,False,25,8.7,8.4,8.8,8.7,8.5
Galleria 10 Sukhumvit by Compass Hospitality,149,4 star,"8.1
Excellent
10,951 reviews","English, Thai","10,951 reviews","21, Sukhumvit Soi 10 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",2,2011,188,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,20,8.3,7.8,8.2,8.2,8.3
Siam @ Siam Design Hotel Bangkok (SHA Extra Plus),191,4.5 star,"8.6
Excellent
9,609 reviews","English, Chinese [Mandarin], Thai","9,609 reviews","865 Rama 1 Road, Opposite National Stadium, Wang Mai, Patumwan, Siam, Bangkok, Thailand",25,221,2,False,False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,13,8.7,8.6,9.0,8.4,8.7
Sukhumvit Suites Hotel,149,3 star,"8.1
Excellent
8,188 reviews","English, Thai","8,188 reviews","403-403/1, 407-407/1 Sukhumvit Road (Between Sukhumvit 21-23), Klongtoeynuea, Wattana,, Sukhumvit, Bangkok, Thailand, 10110",6,73,1,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,26,8.2,7.2,9.3,8.2,8.1
Arte Hotel (SHA Plus+),221,4 star,"8.4
Excellent
10,420 reviews","English, Chinese [Mandarin], Thai","10,420 reviews","29 Sukhumvit Soi 19, Khlongtoye-Nua ,Asok, Sukhumvit, Bangkok, Thailand, 10110",2016,,,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,31,8.4,8.0,8.8,8.8,8.4
Pullman Bangkok Grande Sukhumvit,430,5 star,"8.5
Excellent
6,307 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Hindi, Italian, Spanish, Thai","6,307 reviews","30 Sukhumvit 21 Asoke Road Klongtoey Nua Wattana, Sukhumvit, Bangkok, Thailand, 10110",28,325,1,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,38,8.8,8.2,8.8,8.9,8.7
BelAire Bangkok Sukhumvit (SHA Extra Plus),179,4 star,"7.9
Very good
4,262 reviews","English, Arabic, Thai","4,262 reviews","16 Sukhumvit Road Soi 5 , Sukhumvit, Bangkok, Thailand, 10110",18,155,1,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,11,8.0,7.6,8.2,8.0,8.3
Justice Hotel,JMI,3 star,"8.8
Excellent
684 reviews","English, Thai",684 reviews,"77 Ratchadapisek Road, Chomphon, Chatuchak Bangkok, Chatuchak, Bangkok, Thailand, 10900",8,2019,78,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,17,9.2,8.6,8.8,9.0,9.1
Woraburi Sukhumvit Hotel,69,3 star,"7.2
Very good
4,735 reviews","English, Chinese [Mandarin], Korean, Thai","4,735 reviews","128/1 Sukhumvit Soi 4, Klongtoey Bangkok, Sukhumvit, Bangkok, Thailand, 10110",5,121,1,False,False,False,True,False,True,False,True,True,True,False,True,False,False,True,False,24,7.2,6.8,7.4,7.1,7.3
Royal Benja Hotel (SHA Plus+),126,4 star,"7.9
Very good
2,479 reviews","English, Chinese [Mandarin], French, Japanese, Thai","2,479 reviews","39 Sukhumvit Rd, Soi 5, Wattana,, Sukhumvit, Bangkok, Thailand, 10110",400,,,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,27,8.0,7.7,8.3,7.6,7.9
The Cottage Suvarnabhumi Hotel,105,3.5 star,"7.7
Very good
12,445 reviews","English, Chinese [Mandarin], Japanese, Thai","12,445 reviews","888/8 Lat Krabang Soi 20/2, Lat Krabang Road, Suvarnabhumi Airport, Bangkok, Thailand, 10520",1,1,5,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,38,7.7,7.2,7.9,7.9,8.0
COMO Metropolitan Bangkok (SHA Plus+),580,5 star,"8.9
Excellent
2,608 reviews","English, Chinese [Mandarin], Thai","2,608 reviews","27 South Sathorn Road, Tungmahamek, Sathorn, Bangkok, Thailand, 10120",11,169,2,True,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,13,9.4,9.1,8.2,8.9,9.4
Mandarin Hotel Managed by Centre Point (SHA Plus+),184,4 star,"8.6
Excellent
11,260 reviews","English, Chinese [Mandarin], Thai","11,260 reviews","662 RamaIV Road, Silom, Bangkok, Thailand, 10500",1,220,374,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,44,9.0,8.6,8.4,8.7,8.8
Mercure Bangkok Siam,300,4 star,"8.5
Excellent
9,832 reviews","English, Chinese [Mandarin], French, Italian, Spanish, Thai","9,832 reviews","Rama 1 Wangmai, Siam, Bangkok, Thailand, 10330",29,189,1,False,False,True,True,False,True,False,True,True,True,True,True,False,False,True,False,10,8.8,8.3,9.3,8.6,8.5
Asoke Residence Sukhumvit by UHG,JMI,4 star,"8.1
Excellent
4,346 reviews",,"4,346 reviews","235/20-25 Sukhumvit Soi 21 (Asoke), Klongtoey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,True,25,8.2,7.8,8.5,8.4,8.2
Hotel Nikko Bangkok (SHA Extra Plus),JMI,5 star,"8.8
Excellent
4,235 reviews",,"4,235 reviews","27 Soi Sukhumvit 55 (Thonglor), Sukhumvit Road, Klongton Nua, Wattana, Bangkok Thailand 10110, Sukhumvit, Bangkok, Thailand, 10110",,,,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,0,False,False,False,False,False
Best Western Sukhumvit 20,124,4 star,"8.0
Excellent
8,561 reviews","English, Thai","8,561 reviews","17 Sukhumvit Soi 20, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,11,8.4,7.4,8.0,8.1,8.3
"Lucky Hotel Bangkok, Sukhumvit 26",JMI,3 star,"8.9
Excellent
342 reviews","English, Malay, Thai",342 reviews,"49 Soi Sukhumvit 26 Khwaeng Khlong Tan, Sukhumvit, Bangkok, Thailand, 10110",,,,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,17,9.4,8.3,9.1,9.4,9.3
Lancaster Bangkok (SHA Extra Plus),497,5 star,"8.9
Excellent
3,865 reviews","English, Thai","3,865 reviews","1777 New Phetchaburi Road, Sukhumvit, Bangkok, Thailand, 10310",18,231,1,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,14,9.3,9.0,8.3,9.3,9.1
12 The Residence Hotel & Apartment (SHA Certified),93,3 star,"8.9
Excellent
3,496 reviews","English, Thai","3,496 reviews","22 Soi Saranakom 10 Seekun Donmuang , Don Mueang International Airport, Bangkok, Thailand, 10210",1,1,7,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,82,9.3,9.0,8.8,9.2,9.2
Radisson Blu Plaza Bangkok (SHA Plus+),452,5 star,"8.7
Excellent
3,269 reviews","English, French, Hindi, Thai","3,269 reviews","Bts Asoke / Mrt Sukhumvit, 489 Sukhumvit Road, Wattana, Klongtoey Nua, Sukhumvit, Bangkok, Thailand, 10110",29,290,3,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,0,9.0,8.7,8.9,8.9,8.7
Lohas Residences Sukhumvit (SHA Plus+),125,4.5 star,"7.9
Very good
3,487 reviews","English, Chinese [Mandarin], Japanese, Thai","3,487 reviews","75, Sukhumvit Soi 2, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",10,140,1,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,22,8.0,7.7,7.6,8.4,8.3
Ramada Plaza Bangkok Menam Riverside,JMI,5 star,"8.3
Excellent
6,811 reviews",,"6,811 reviews","2074 Charoenkrung Road Soi 72/4, Wat Praya Krai, Bangkholaem, Bangkok Riverside, Bangkok, Thailand, 10120",,,,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,0,False,False,False,False,False
Akara Hotel Bangkok,297,5 star,"8.4
Excellent
2,923 reviews","English, Chinese [Mandarin], Filipino, Thai","2,923 reviews","372 Sri Ayuttaya Road, Phyathai, Rajthevi, Pratunam, Bangkok, Thailand, 10400",1,2018,82,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,21,8.8,8.3,8.2,8.8,8.5
"Fraser Suites Sukhumvit, Bangkok (SHA Plus+)",383,4 star,"8.5
Excellent
2,965 reviews","English, Arabic, Japanese, Thai","2,965 reviews","38/8 Sukhumvit soi 11, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",32,185,2,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,True,0,8.7,8.4,8.4,8.6,8.7
The Sukosol (SHA Extra Plus),JMI,5 star,"8.4
Excellent
6,664 reviews","English, Chinese [Mandarin], Japanese, Thai","6,664 reviews","477 Si Ayuthaya Road, Phaya Thai, Siam, Bangkok, Thailand, 10400",23,500,2,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,24,8.6,8.2,8.6,8.3,8.5
Novotel Bangkok Ploenchit Sukhumvit Hotel,JMI,4.5 star,"8.5
Excellent
6,660 reviews",,"6,660 reviews","566 Ploenchit Road, Lumpini, Pathumwan, Sukhumvit, Bangkok, Thailand, 10330",29,370,1,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True,False,16,8.8,8.1,9.0,8.5,8.6
Pillow and bread hostel,JMI,2 star,"8.9
Excellent
1,461 reviews","English, Thai","1,461 reviews","4 Soi intamara 3 Khwaeng Samsen Nai phayathai, Chatuchak, Bangkok, Thailand, 10400",,,,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,16,9.4,9.0,8.6,9.6,9.4
The Quarter Ladprao by UHG (SHA Plus+),212,4 star,"9.0
Exceptional
11,999 reviews","English, Chinese [Mandarin], Thai","11,999 reviews","80 Soi Ladprao 4 Ladprao Road Chomphon Chatujak Bangkok 10900, Ratchada, Bangkok, Thailand, 10900",,,,True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,False,39,9.2,9.0,9.4,9.0,9.1
Centre Point Sukhumvit 10 Hotel (SHA Extra Plus),226,4 star,"8.3
Excellent
10,678 reviews","English, Thai","10,678 reviews","39, Sukhumvit Soi 10, Sukhumvit Road, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",1,220,189,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,True,36,8.6,8.3,8.1,8.7,8.7
Nouvo City Hotel (SHA Plus+),JMI,4 star,"8.4
Excellent
6,458 reviews",,"6,458 reviews","2 Samsen 2, Samsen Road, Banglumphu, Pranakorn, Khaosan, Bangkok, Thailand, 10200",7,270,2,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,38,8.6,8.2,8.7,8.3,8.6
